source_organisation,amountUSD,flow,destination_organisation
"United States of America, Government of",259830045,incoming,World Food Programme
"United States of America, Government of",245000000,incoming,empty
"United States of America, Government of",189978217,incoming,World Food Programme
World Food Programme,99580140,internal,World Food Programme
"United States of America, Government of",78800000,incoming,United Nations High Commissioner for Refugees
European Commission's Humanitarian Aid and Civil Protection Department,64700000,incoming,UN Agencies;Red Cross Organizations;NGOs
"Japan, Government of",61320000,incoming,empty
World Food Programme,55866224,internal,World Food Programme
World Food Programme,49216073,internal,World Food Programme
empty,46248368,internal,Catholic Relief Services
"United States of America, Government of",40100000,incoming,International Committee of the Red Cross
empty,34518455,incoming,World Food Programme
World Food Programme,22721352,incoming,World Food Programme
World Food Programme,22478546,incoming,World Food Programme
"United Kingdom , Government of",21538462,incoming,World Food Programme
World Food Programme,20938742,incoming,World Food Programme
"United Kingdom , Government of",20362050,incoming,South Sudan CHF
Common Humanitarian Fund,20226872,incoming,South Sudan CHF
UN Agencies;Red Cross Organizations;NGOs,20134228,internal,International Committee of the Red Cross
"Norway, Government of",20000000,incoming,empty
World Food Programme,19856315,internal,World Food Programme
"Switzerland, Government of",19400000,incoming,empty
"United Kingdom , Government of",17991004,incoming,World Food Programme
World Food Programme,17111282,incoming,World Food Programme
"Canada, Government of",16915815,incoming,World Food Programme
"Germany, Government of",16835017,incoming,World Food Programme
"United Kingdom , Government of",16819572,incoming,World Food Programme
UN Agencies;Red Cross Organizations;NGOs,15900318,internal,World Food Programme
"United Kingdom , Government of",15267176,incoming,South Sudan CHF
World Food Programme,15129101,internal,World Food Programme
"Netherlands, Government of",15100000,incoming,empty
World Food Programme,14766001,incoming,World Food Programme
"Sweden, Government of",14600000,incoming,empty
"United Kingdom , Government of",13846154,incoming,International Committee of the Red Cross
"United States of America, Government of",12400000,incoming,World Food Programme
empty,11500000,internal,United Nations High Commissioner for Refugees
UN Agencies;Red Cross Organizations;NGOs,10604454,internal,World Food Programme
"United Kingdom , Government of",10214067,incoming,United Nations Children's Fund
"United Kingdom , Government of",10188088,incoming,Food & Agriculture Organization of the United Nations
Various Donor,9800000,incoming,International Organization for Migration
Various Donor,9800000,incoming,International Organization for Migration
Various Donor,9600000,internal,United Nations High Commissioner for Refugees
Various Donor,9244992,incoming,International Committee of the Red Cross
Various Donor,9244992,incoming,International Committee of the Red Cross
Various Donor,9230769,incoming,South Sudan CHF
Various Donor,9230769,incoming,South Sudan CHF
Various Donor,8801614,incoming,United Nations High Commissioner for Refugees
Various Donor,8801614,incoming,United Nations High Commissioner for Refugees
Various Donor,8785347,internal,World Food Programme
Various Donor,7851632,incoming,Catholic Relief Services
Various Donor,7851632,incoming,Catholic Relief Services
Various Donor,7675439,internal,World Food Programme
Various Donor,7645260,incoming,South Sudan CHF
Various Donor,7645260,incoming,South Sudan CHF
Various Donor,7474693,internal,World Food Programme
Various Donor,7396450,incoming,Concern Worldwide
Various Donor,7396450,incoming,Concern Worldwide
Various Donor,7186544,incoming,International Committee of the Red Cross
Various Donor,7186544,incoming,International Committee of the Red Cross
Various Donor,7148260,internal,South Sudan CHF
Various Donor,7062147,internal,Food & Agriculture Organization of the United Nations
Various Donor,7000000,incoming,World Food Programme
Various Donor,7000000,incoming,World Food Programme
Various Donor,6398917,incoming,South Sudan CHF
Various Donor,6398917,incoming,South Sudan CHF
Various Donor,5899918,incoming,World Food Programme
Various Donor,5600000,internal,Food & Agriculture Organization of the United Nations
Various Donor,5464481,incoming,World Food Programme
Various Donor,5464481,incoming,World Food Programme
Various Donor,5422988,incoming,United Nations Children's Fund
Various Donor,5422988,incoming,United Nations Children's Fund
Various Donor,5346500,internal,South Sudan CHF
Various Donor,5082685,incoming,South Sudan CHF
Various Donor,5082685,incoming,South Sudan CHF
Various Donor,5000000,internal,Food & Agriculture Organization of the United Nations
Various Donor,5000000,internal,World Food Programme
Various Donor,5000000,internal,Japan Platform
Various Donor,5000000,incoming,International Organization for Migration
Various Donor,5000000,incoming,World Food Programme
Various Donor,5000000,incoming,empty
Various Donor,5000000,incoming,International Organization for Migration
Various Donor,5000000,incoming,World Food Programme
Various Donor,5000000,incoming,empty
Various Donor,4849700,incoming,Mentor Initiative
Various Donor,4849700,incoming,Mentor Initiative
Various Donor,4800000,internal,United Nations Development Programme
Various Donor,4705000,internal,International Organization for Migration
Various Donor,4542252,incoming,CARE International
Various Donor,4437870,incoming,World Food Programme
Various Donor,4437870,incoming,World Food Programme
Various Donor,4410008,incoming,World Food Programme
Various Donor,4410008,incoming,World Food Programme
Various Donor,4398521,incoming,World Food Programme
Various Donor,4398521,incoming,World Food Programme
Various Donor,4369058,internal,International Organization for Migration
Various Donor,4333694,internal,Solidarit̩s International
Various Donor,4250000,internal,International Committee of the Red Cross
Various Donor,4136545,incoming,International Rescue Committee
Various Donor,4136545,incoming,International Rescue Committee
Various Donor,4115226,incoming,International Committee of the Red Cross
Various Donor,4115226,incoming,International Committee of the Red Cross
Various Donor,4100000,internal,United Nations Operation Programme Support
Various Donor,4100000,incoming,United Nations Office for Project Services
Various Donor,4100000,incoming,United Nations Office for Project Services
Various Donor,4096521,incoming,Agency for Technical Cooperation and Development
Various Donor,4061171,incoming,World Vision South Sudan
Various Donor,4052685,internal,International Committee of the Red Cross
Various Donor,4027182,incoming,Mercy Corps 
Various Donor,4027182,incoming,Mercy Corps 
Various Donor,4000000,internal,World Food Programme
Various Donor,3945002,incoming,World Relief
Various Donor,3900000,internal,International Organization for Migration
Various Donor,3883106,incoming,International Committee of the Red Cross
Various Donor,3883106,incoming,International Committee of the Red Cross
Various Donor,3500000,internal,UN Women
Various Donor,3500000,incoming,United Nations Children's Fund
Various Donor,3500000,incoming,United Nations Children's Fund
Various Donor,3483511,incoming,International Committee of the Red Cross
Various Donor,3483511,incoming,International Committee of the Red Cross
Various Donor,3300000,incoming,International Organization for Migration
Various Donor,3300000,incoming,International Organization for Migration
Various Donor,3267974,incoming,United Nations Children's Fund
Various Donor,3267974,incoming,United Nations Children's Fund
Various Donor,3255570,incoming,South Sudan CHF
Various Donor,3255570,incoming,South Sudan CHF
Various Donor,3250000,internal,World Food Programme
Various Donor,3202562,incoming,World Vision South Sudan
Various Donor,3202562,incoming,World Vision South Sudan
Various Donor,3183399,incoming,United Nations Mine Action Service
Various Donor,3183399,incoming,United Nations Mine Action Service
Various Donor,3097487,incoming,GOAL
Various Donor,3097487,incoming,GOAL
Various Donor,3091380,incoming,International Organization for Migration
Various Donor,3091380,incoming,International Organization for Migration
Various Donor,3076923,incoming,Food & Agriculture Organization of the United Nations
Various Donor,3076923,incoming,Food & Agriculture Organization of the United Nations
Various Donor,3058104,incoming,World Food Programme
Various Donor,3058104,incoming,World Food Programme
Various Donor,3021148,incoming,World Food Programme
Various Donor,3021148,incoming,World Food Programme
Various Donor,3018422,incoming,Samaritan's Purse
Various Donor,3018422,incoming,Samaritan's Purse
Various Donor,3000000,internal,World Food Programme
Various Donor,3000000,internal,International Medical Corps UK
Various Donor,3000000,internal,International Medical Corps UK
Various Donor,3000000,incoming,Save the Children 
Various Donor,3000000,incoming,World Food Programme
Various Donor,3000000,incoming,Save the Children 
Various Donor,3000000,incoming,World Food Programme
Various Donor,2985306,incoming,South Sudan CHF
Various Donor,2985306,incoming,South Sudan CHF
Various Donor,2958580,incoming,World Food Programme
Various Donor,2958580,incoming,World Food Programme
Various Donor,2953559,incoming,Johanniter Unfallhilfe e.V.
Various Donor,2953559,incoming,Johanniter Unfallhilfe e.V.
Various Donor,2900000,internal,International Organization for Migration
Various Donor,2897344,incoming,Mercy Corps 
Various Donor,2897344,incoming,Mercy Corps 
Various Donor,2892699,incoming,World Food Programme
Various Donor,2853787,incoming,MEDAIR
Various Donor,2853787,incoming,MEDAIR
Various Donor,2836998,incoming,United Nations Children's Fund
Various Donor,2836998,incoming,United Nations Children's Fund
Various Donor,2800000,internal,Solidarit̩s International
Various Donor,2796421,internal,M̩decins sans Fronti̬res - Netherlands
Various Donor,2784000,internal,United Nations Children's Fund
Various Donor,2782200,incoming,Concern Worldwide
Various Donor,2758621,incoming,Norwegian Refugee Council
Various Donor,2758621,incoming,Norwegian Refugee Council
Various Donor,2713704,incoming,Concern Worldwide
Various Donor,2713704,incoming,Concern Worldwide
Various Donor,2708559,internal,M̩decins sans Fronti̬res - Belgium
Various Donor,2673933,incoming,MEDAIR
Various Donor,2651113,internal,United Nations High Commissioner for Refugees
Various Donor,2600000,incoming,World Vision South Sudan
Various Donor,2592000,internal,United Nations Children's Fund
Various Donor,2583530,internal,Catholic Relief Services
Various Donor,2582288,incoming,World Food Programme
Various Donor,2582288,incoming,World Food Programme
Various Donor,2553811,incoming,Food & Agriculture Organization of the United Nations
Various Donor,2553811,incoming,Food & Agriculture Organization of the United Nations
Various Donor,2530248,incoming,OXFAM GB
Various Donor,2530248,incoming,OXFAM GB
Various Donor,2500002,internal,International Organization for Migration
Various Donor,2500000,internal,United Nations Children's Fund
Various Donor,2500000,internal,United Nations Mine Action Service
Various Donor,2500000,internal,United Nations Children's Fund
Various Donor,2474425,internal,Concern Worldwide
Various Donor,2426765,internal,Private (individuals & organisations)
Various Donor,2401922,incoming,M̩decins sans Fronti̬res - Canada
Various Donor,2401922,incoming,M̩decins sans Fronti̬res - Canada
Various Donor,2400000,internal,United Nations Human Settlements Programme (UN-HABITAT)
Various Donor,2333333,incoming,International Rescue Committee
Various Donor,2333333,incoming,International Rescue Committee
Various Donor,2313279,incoming,South Sudan CHF
Various Donor,2313279,incoming,South Sudan CHF
Various Donor,2300000,incoming,ACF - USA
Various Donor,2300000,incoming,ACF - USA
Various Donor,2244669,incoming,International Committee of the Red Cross
Various Donor,2244669,incoming,International Committee of the Red Cross
Various Donor,2212389,incoming,Norwegian Refugee Council
Various Donor,2212389,internal,OXFAM GB
Various Donor,2212389,incoming,South Sudan CHF
Various Donor,2212389,incoming,South Sudan CHF
Various Donor,2205832,incoming,South Sudan CHF
Various Donor,2205832,incoming,South Sudan CHF
Various Donor,2186594,incoming,Concern Worldwide
Various Donor,2186594,incoming,Concern Worldwide
Various Donor,2185228,internal,Catholic Relief Services
Various Donor,2173913,internal,World Food Programme
Various Donor,2171464,incoming,United Nations Children's Fund
Various Donor,2171464,incoming,United Nations Children's Fund
Various Donor,2166847,internal,World Food Programme
Various Donor,2166847,internal,World Food Programme
Various Donor,2166847,incoming,International Committee of the Red Cross
Various Donor,2166847,incoming,World Food Programme
Various Donor,2166847,incoming,International Committee of the Red Cross
Various Donor,2166847,incoming,World Food Programme
Various Donor,2140000,incoming,World Food Programme
Various Donor,2140000,incoming,World Food Programme
Various Donor,2120891,incoming,World Food Programme
Various Donor,2120891,incoming,World Food Programme
Various Donor,2116402,incoming,World Food Programme
Various Donor,2116402,incoming,World Food Programme
Various Donor,2057613,incoming,World Food Programme
Various Donor,2057613,incoming,World Food Programme
Various Donor,2040400,internal,United Nations Population Fund
Various Donor,2031635,incoming,ACT Alliance / DanChurchAid
Various Donor,2031635,incoming,ACT Alliance / DanChurchAid
Various Donor,2017676,incoming,International Rescue Committee
Various Donor,2017676,incoming,International Rescue Committee
Various Donor,2009720,internal,International Organization for Migration
Various Donor,2002503,internal,Oxfam Intermon
Various Donor,2000000,internal,International Organization for Migration
